pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
0,0.74,#000001,0.23,#000003,0.01,#000005,0.01,#000203,0.0,#000201,0.0,#020203,0.0,#000205,0.0,#020205
1,0.89,#000001,0.1,#000003,0.01,#000203,0.0,#000201,0.0,#020203,0.0,#020202,0.0,#020103,0.0,#000008
2,0.72,#000001,0.25,#000003,0.02,#000203,0.0,#000201,0.0,#000006,0.0,#020203,0.0,#000303,0.0,#000206
3,0.76,#000001,0.12,#000003,0.06,#010003,0.05,#010001,0.01,#000203,0.0,#010203,0.0,#000201,0.0,#020204
4,0.94,#000001,0.05,#000004,0.0,#010304,0.0,#000302,0.0,#07070b,0.0,#030509,0.0,#030304,0.0,#000108
5,0.72,#000001,0.26,#000003,0.01,#000203,0.0,#020203,0.0,#000201,0.0,#000006,0.0,#000206,0.0,#020104
6,0.71,#000001,0.26,#000003,0.02,#000203,0.0,#000201,0.0,#000006,0.0,#020203,0.0,#000206,0.0,#020103
7,0.76,#000001,0.21,#000003,0.02,#000203,0.0,#000201,0.0,#020203,0.0,#000006,0.0,#000206,0.0,#020003
8,0.89,#000001,0.1,#000003,0.0,#000203,0.0,#000005,0.0,#000201,0.0,#020203,0.0,#000205,0.0,#020205
9,0.83,#000001,0.16,#000003,0.01,#000203,0.0,#000201,0.0,#020203,0.0,#000006,0.0,#020201,0.0,#020206
10,0.74,#000001,0.25,#000003,0.01,#000203,0.0,#000006,0.0,#000201,0.0,#020203,0.0,#020104,0.0,#000206
11,0.88,#000001,0.12,#000003,0.0,#020103,0.0,#020101,0.0,#000006,0.0,#000303,0.0,#020304,0.0,#010301
12,0.95,#000001,0.05,#000004,0.0,#000302,0.0,#010304,0.0,#08080a,0.0,#010307,0.0,#010007,,
13,0.77,#000001,0.23,#000003,0.0,#000006,0.0,#010304,0.0,#010302,0.0,#080809,,,,
14,0.94,#000001,0.06,#000004,0.0,#000008,0.0,#010305,0.0,#07080c,0.0,#030305,0.0,#010302,,
15,0.93,#000001,0.07,#000004,0.0,#010304,0.0,#010302,0.0,#000008,0.0,#07080b,0.0,#030305,0.0,#030207
16,0.76,#000001,0.22,#000003,0.01,#000005,0.0,#010303,0.0,#010305,0.0,#010301,0.0,#070807,0.0,#030206
17,0.79,#000001,0.2,#000003,0.01,#000203,0.0,#000201,0.0,#000006,0.0,#020204,0.0,#000206,0.0,#020202
18,0.81,#000001,0.19,#000003,0.0,#020203,0.0,#000106,0.0,#000303,0.0,#020201,0.0,#020106,0.0,#010306
19,0.86,#000001,0.14,#000004,0.0,#010107,0.0,#010405,0.0,#090b0a,0.0,#030304,0.0,#030302,,
20,0.85,#000001,0.15,#000003,0.0,#020104,0.0,#000006,0.0,#000303,0.0,#020102,0.0,#020303,0.0,#060708
21,0.89,#000001,0.1,#000003,0.0,#000005,0.0,#020103,0.0,#000303,0.0,#020202,0.0,#020303,0.0,#010305
22,0.75,#000001,0.24,#000003,0.0,#020103,0.0,#000303,0.0,#000106,0.0,#020101,0.0,#020304,0.0,#020106
23,0.76,#000001,0.24,#000003,0.0,#020103,0.0,#000006,0.0,#000303,0.0,#020101,0.0,#020206,0.0,#020304
24,0.96,#000001,0.03,#000004,0.01,#000202,0.0,#000204,0.0,#020204,0.0,#020202,0.0,#000008,0.0,#020104
25,0.99,#000001,0.0,#020103,0.0,#000303,0.0,#000106,0.0,#020304,0.0,#020206,0.0,#00000d,0.0,#040707
26,0.7,#000001,0.16,#000003,0.06,#010003,0.04,#010001,0.01,#000203,0.01,#010203,0.01,#010005,0.01,#000201
27,0.81,#000001,0.19,#000003,0.0,#000106,0.0,#010303,0.0,#010306,0.0,#000302,0.0,#070808,0.0,#030405
28,0.86,#000001,0.13,#000003,0.01,#000203,0.0,#000201,0.0,#020203,0.0,#000006,0.0,#020201,0.0,#000206
29,0.87,#000001,0.12,#000004,0.0,#010304,0.0,#000302,0.0,#010108,0.0,#030305,0.0,#07080b,,
30,0.83,#000001,0.15,#000003,0.01,#000203,0.01,#000005,0.0,#000201,0.0,#020203,0.0,#000205,0.0,#020205
31,0.98,#000001,0.01,#000202,0.0,#000005,0.0,#020203,0.0,#000205,0.0,#00000a,0.0,#020205,0.0,#050608
32,0.75,#000001,0.24,#000003,0.0,#000006,0.0,#020103,0.0,#000303,0.0,#020106,0.0,#000301,0.0,#000306
33,0.96,#000001,0.04,#000004,0.0,#010107,0.0,#0a0a0a,0.0,#020404,,,,,,
34,0.89,#000001,0.11,#000003,0.0,#000006,0.0,#010304,0.0,#010302,0.0,#070809,,,,
35,0.74,#000001,0.25,#000003,0.0,#000303,0.0,#020103,0.0,#000106,0.0,#020101,0.0,#000301,0.0,#010306
36,0.78,#000001,0.19,#000003,0.02,#000203,0.01,#000201,0.0,#020203,0.0,#000006,0.0,#000206,0.0,#020202
37,0.85,#000001,0.13,#000003,0.01,#000203,0.0,#000005,0.0,#000201,0.0,#020203,0.0,#000205,0.0,#020205
38,0.81,#000001,0.18,#000003,0.0,#000203,0.0,#000201,0.0,#000006,0.0,#020203,0.0,#000206,0.0,#010304
39,0.71,#000001,0.26,#000003,0.02,#000203,0.0,#000201,0.0,#000006,0.0,#020203,0.0,#000206,0.0,#020104
40,0.99,#000001,0.01,#000005,0.0,#00000a,0.0,#040507,0.0,#030204,0.0,#090a0d,0.0,#060608,0.0,#030305
41,1.0,#000001,0.0,#010207,0.0,#121615,0.0,#090c0c,0.0,#060607,,,,,,
42,1.0,#000002,0.0,#0a0407,0.0,#0f1111,0.0,#1d2324,,,,,,,,
43,1.0,#000001,0.0,#100605,0.0,#171817,0.0,#2b2f2f,,,,,,,,
44,0.99,#000001,0.01,#160707,0.0,#393c3e,0.0,#241f20,0.0,#161413,0.0,#101419,,,,
45,0.98,#000001,0.02,#1e0b08,0.0,#261912,0.0,#45474a,0.0,#35322d,0.0,#161920,,,,
46,0.97,#000002,0.03,#29120b,0.0,#351f15,0.0,#3d2217,0.0,#3c1c12,0.0,#595a56,0.0,#4b4138,0.0,#3e271d
47,0.97,#010001,0.03,#3a170e,0.0,#4c2920,0.0,#4b3128,0.0,#7f766d,0.0,#4f5055,,,,
48,0.96,#010001,0.04,#471d14,0.0,#5b3028,0.0,#5f3630,0.0,#9b8d8a,0.0,#595b64,,,,
49,0.95,#010102,0.04,#4a1d15,0.0,#6b3127,0.0,#5d3126,0.0,#6e3a36,0.0,#5e3530,0.0,#69241d,0.0,#827575
50,0.94,#020102,0.03,#4d1e16,0.01,#7a3f3a,0.01,#71352b,0.01,#5f3227,0.0,#730d10,0.0,#613934,0.0,#938284
51,0.93,#030102,0.03,#511f18,0.02,#884744,0.01,#783931,0.01,#7c1819,0.0,#67372f,0.0,#673f3b,0.0,#9c878c
52,0.92,#050303,0.04,#622620,0.02,#995450,0.0,#95171b,0.0,#7d413a,0.0,#7e4744,0.0,#8a433a,0.0,#7f3c40
53,0.92,#070404,0.04,#6d2b25,0.03,#a8605b,0.01,#a31f22,0.0,#974c44,0.0,#894943,0.0,#8a514e,0.0,#cdbabf
54,0.91,#0a0504,0.04,#b16760,0.03,#6b2720,0.01,#b12124,0.0,#8a483e,0.0,#8d524e,0.0,#9d4b41,0.0,#ca8c85
55,0.91,#0b0706,0.03,#b36a64,0.03,#6a2722,0.01,#cc8980,0.01,#b8252b,0.0,#89463e,0.0,#8c524e,0.0,#d49c96
56,0.9,#0d0907,0.04,#6f2c25,0.04,#c17b71,0.01,#c12e33,0.0,#dd9f92,0.0,#915148,0.0,#a5544a,0.0,#e4b0a8
57,0.9,#0f0a08,0.04,#763029,0.04,#ca857a,0.01,#ca3438,0.0,#e8aa9d,0.0,#97574d,0.0,#99615e,0.0,#af5b50
58,0.89,#100a08,0.04,#772f2b,0.04,#cb847b,0.01,#edab9d,0.01,#cd353a,0.0,#f3bbb2,0.0,#9b5f5d,0.0,#98584f
59,0.89,#100a08,0.05,#742e29,0.04,#cb827a,0.01,#edaa9e,0.01,#cb363b,0.0,#f4bcb3,0.0,#97574f,0.0,#97615f
60,0.89,#100a08,0.05,#762f2a,0.04,#cb8279,0.01,#eeab9d,0.01,#ce363b,0.0,#f4bdb3,0.0,#98605f,0.0,#9b564f
61,0.89,#0f0908,0.05,#742d2a,0.04,#c67e77,0.01,#e9a69b,0.01,#c93339,0.0,#f0b8b1,0.0,#965c5c,0.0,#94534d
62,0.89,#100a09,0.05,#762f2b,0.04,#cb847b,0.01,#ecaca0,0.01,#cc353b,0.0,#985e5d,0.0,#f4bcb4,0.0,#98574f
63,0.89,#100a09,0.05,#76302d,0.04,#cd867f,0.01,#cc343b,0.0,#edada3,0.0,#9b6060,0.0,#f1bab4,0.0,#9c5850
64,0.89,#100a07,0.05,#762f2a,0.04,#cc857b,0.01,#edada0,0.01,#ce353a,0.0,#f2bdb3,0.0,#99625f,0.0,#9b574e
65,0.89,#0f0a08,0.04,#742d28,0.03,#c47c74,0.01,#e6a398,0.01,#eeb4ac,0.01,#cb3239,0.0,#965d5b,0.0,#945149
66,0.9,#220e07,0.05,#5f241b,0.03,#d6c1bc,0.01,#826b66,0.0,#674c42,0.0,#ba2511,0.0,#68434e,0.0,#a0938b
67,0.86,#240e06,0.07,#62291c,0.04,#d5bfb8,0.02,#8d6960,0.01,#7a4d40,0.0,#a97b6f,0.0,#a1958f,0.0,#ae9588
68,0.84,#220d06,0.07,#602419,0.03,#c8b3ae,0.03,#916a61,0.02,#ad7e73,0.01,#814f40,0.0,#af9489,0.0,#a1958f
69,0.74,#210e06,0.12,#6a2e22,0.05,#976d62,0.04,#cbb4aa,0.03,#b28678,0.02,#895445,0.0,#b89f92,0.0,#bc2a14
70,0.74,#21110a,0.09,#dec5c0,0.05,#927d74,0.05,#602c23,0.05,#b69f95,0.02,#c5aea4,0.01,#6f5a4d,0.0,#624a5b
71,0.74,#201009,0.1,#dcc3bd,0.05,#927d72,0.04,#602a21,0.03,#b29c90,0.03,#c0a99d,0.01,#6d594a,0.0,#604958
72,0.77,#240f08,0.09,#6b2820,0.06,#dcc3bc,0.03,#b69d93,0.03,#927a70,0.01,#c3aa9f,0.01,#c10a19,0.0,#76584b
73,0.7,#281009,0.12,#6f2c23,0.06,#dfc6bf,0.04,#b5998d,0.03,#95796e,0.02,#c5aea2,0.02,#c40816,0.01,#875b4d
74,0.69,#250f08,0.12,#702b22,0.07,#ddc4bd,0.04,#b4968b,0.04,#93796f,0.02,#c40613,0.02,#c1aa9f,0.01,#84574a
75,0.65,#251009,0.16,#6f251d,0.08,#ddc4bc,0.04,#92786e,0.03,#b4958a,0.01,#c0a99d,0.01,#c00513,0.01,#82574b
76,0.53,#31150d,0.19,#632e21,0.15,#e8cbc1,0.05,#977c6a,0.04,#b69b89,0.02,#c8ad9a,0.02,#825e46,0.0,#ae5e4a
77,0.55,#2f150c,0.19,#632d21,0.14,#e9ccc3,0.04,#957b68,0.03,#b69a87,0.02,#c8ad9a,0.02,#825d45,0.0,#6d4e52
78,0.6,#2f150c,0.21,#642e20,0.09,#ecd1c5,0.03,#987c65,0.02,#b79b83,0.02,#856046,0.02,#cbb09a,0.0,#cca6a3
79,0.52,#33180f,0.18,#633124,0.16,#e8ccc3,0.06,#967d6a,0.04,#b69c89,0.03,#c8ae9a,0.02,#825e47,0.0,#bfa7a3
80,0.51,#32160e,0.19,#633023,0.15,#e8ccc2,0.05,#967c69,0.05,#b69b88,0.03,#c8ae9b,0.02,#835f48,0.0,#c6a7a4
81,0.53,#31160d,0.18,#622f22,0.15,#e7ccc2,0.06,#967d6a,0.04,#b69c89,0.02,#c7ad9a,0.02,#805e47,0.0,#774b54
82,0.51,#32150d,0.19,#632f23,0.15,#e8ccc1,0.05,#967c69,0.04,#b69b88,0.03,#c9ae9a,0.02,#825e47,,
83,0.55,#30140d,0.18,#622e22,0.14,#eacdc4,0.04,#977c69,0.03,#b79c89,0.03,#c9ad9a,0.02,#815e47,,
84,0.59,#33150d,0.23,#632e21,0.08,#ecd0c5,0.03,#977762,0.03,#b89a86,0.02,#865e47,0.02,#cbaf9b,0.0,#c8a7a4
85,0.51,#33170e,0.19,#633024,0.15,#e9ccc3,0.05,#977c69,0.05,#b79b89,0.03,#c9ae9b,0.02,#835e48,0.0,#c0a7a4
86,0.53,#3a170d,0.14,#653226,0.12,#deb6b5,0.1,#997c6d,0.07,#b8968e,0.03,#795944,0.01,#c3a0a0,0.0,#cda699
87,0.51,#3a170e,0.13,#dab3b3,0.13,#643529,0.1,#977b6c,0.06,#b5958d,0.04,#765843,0.01,#be9d9d,0.0,#caa396
88,0.49,#3a180f,0.14,#dab3b2,0.12,#643628,0.11,#977a6b,0.06,#b5948d,0.06,#765841,0.01,#bd9c9c,0.0,#c8a295
89,0.49,#3b180f,0.16,#d7b0ae,0.11,#633728,0.1,#977969,0.08,#74553f,0.05,#b29287,0.01,#c09c90,0.0,#b89797
90,0.66,#330a07,0.09,#71271e,0.08,#987a6a,0.07,#dfbdb2,0.05,#c4a495,0.03,#b49585,0.02,#7f5745,0.0,#6e4159
91,0.66,#310b08,0.09,#dcbbb2,0.08,#712921,0.08,#987b6c,0.06,#b8998b,0.02,#c9a897,0.01,#7b5947,0.0,#734a5a
92,0.72,#2e0b08,0.09,#e5c4bb,0.07,#6d271f,0.05,#987b6a,0.04,#bb9d8d,0.01,#7d5b49,0.01,#cbae9c,0.0,#c5a5a3
93,0.68,#300c08,0.09,#72261e,0.08,#e0bfb7,0.06,#997b6a,0.05,#ba9b8b,0.02,#caab99,0.01,#805b48,0.0,#c1a4a1
94,0.67,#310b07,0.1,#732920,0.07,#977969,0.07,#dfbdb5,0.05,#bb9c8b,0.01,#ccad9a,0.01,#7f5b48,0.0,#c2a6a2
95,0.56,#360c08,0.13,#e6c4ba,0.11,#6f261d,0.08,#987c6c,0.05,#c4a597,0.04,#b49685,0.02,#825845,0.0,#b25948
96,0.58,#330b07,0.13,#e7c4ba,0.1,#6e271f,0.08,#987b6a,0.05,#c5a597,0.03,#b59686,0.02,#7e5946,0.0,#ada4a1
97,0.58,#1f0c07,0.24,#c9ab9e,0.08,#5c2418,0.05,#866f5f,0.02,#664b39,0.01,#ae907c,0.0,#a08c7e,0.0,#a7866f
98,0.57,#200b07,0.24,#cbad9f,0.08,#5e281a,0.08,#876f5e,0.02,#6a4e3b,0.01,#b3957f,0.0,#ac8d77,0.0,#a69184
99,0.57,#210b07,0.24,#ccad9f,0.08,#602417,0.07,#876d5d,0.02,#694d39,0.01,#b1937d,0.0,#a58e7f,0.0,#ab8972
100,0.57,#210b07,0.24,#ceaea0,0.08,#602619,0.07,#876e5d,0.02,#6a4d3a,0.01,#b2947e,0.0,#a69080,0.0,#ac8b73
101,0.56,#200b07,0.24,#ccac9e,0.09,#5e2216,0.06,#876c5a,0.03,#694b38,0.02,#ae917b,0.0,#a18a7a,0.0,#a6856b
102,0.57,#210c07,0.25,#cdad9f,0.08,#5f2519,0.06,#89705f,0.02,#684b39,0.01,#b1927b,0.0,#a48d7d,0.0,#aa886e
103,0.57,#210b07,0.24,#ccac9d,0.09,#5e2216,0.05,#876e5b,0.03,#684b38,0.02,#ae907a,0.0,#a18a79,0.0,#a78469
104,0.56,#200b07,0.24,#caac9d,0.1,#5d2519,0.05,#886f5e,0.02,#6a4c3a,0.02,#b0937f,0.01,#a68875,,
105,0.88,#140c0b,0.04,#6a2e27,0.03,#b58672,0.01,#926a5a,0.01,#cda38f,0.01,#875645,0.01,#b73739,0.0,#d4b3a7
106,0.89,#140c0b,0.04,#72322a,0.04,#bd8f7c,0.02,#9b7161,0.01,#8f5a4a,0.01,#bf3b3e,0.0,#d3ac9d,0.0,#d8b9af
107,0.89,#140c0b,0.04,#71312a,0.04,#be8f7b,0.01,#9c7161,0.01,#8f5b4b,0.01,#c03b3e,0.0,#d4ac9c,0.0,#d9bbb0
108,0.88,#150c0b,0.05,#703029,0.04,#bd8c78,0.01,#9a6e5f,0.01,#8f5a49,0.01,#be393c,0.01,#d3a896,0.0,#dab7ad
109,0.88,#150c0b,0.05,#6e2f26,0.04,#bc8b77,0.01,#996e5e,0.01,#905a48,0.01,#d3a795,0.01,#be393b,0.0,#dab9ad
110,0.88,#150c0a,0.05,#6f2f27,0.04,#bb8c77,0.01,#9a6f5d,0.01,#8d5948,0.01,#be393b,0.01,#d2a793,0.0,#d9b7aa
111,0.88,#150c0b,0.05,#6d2d26,0.04,#bb8b76,0.01,#9a6e5e,0.01,#8d5948,0.01,#bd3a3b,0.01,#d2a692,0.0,#d9b7aa
112,0.86,#140b0a,0.06,#652721,0.04,#b58371,0.01,#cea08d,0.01,#936959,0.01,#895545,0.01,#b83638,0.0,#d7b2a5
113,0.85,#140b0b,0.08,#67231e,0.04,#bd8b77,0.01,#976c5d,0.01,#be3a3b,0.01,#905a49,0.0,#d4a997,0.0,#dbb8ad
114,0.84,#140b0a,0.09,#6a1f1c,0.04,#bf8c79,0.01,#9b6e5e,0.01,#c0393c,0.01,#925a4a,0.0,#d6aa9a,0.0,#dcb8ad
115,0.83,#130b0a,0.1,#6a1a19,0.04,#bc8975,0.01,#996d5d,0.01,#bf393a,0.01,#d3a491,0.01,#8e5847,0.0,#dab4a7
116,0.83,#130a0a,0.1,#6c1717,0.04,#bc8a77,0.01,#9a6e5f,0.01,#bd393b,0.01,#8d5747,0.01,#d2a693,0.0,#dbb7ab
117,0.82,#130b0a,0.12,#6f1517,0.04,#bf8c79,0.01,#9b6f60,0.01,#c03a3c,0.01,#935a4a,0.0,#d4a998,0.0,#dcb9af
118,0.8,#120b0a,0.13,#6f1315,0.04,#bd8b78,0.01,#9a6f60,0.01,#be393b,0.01,#915a4a,0.0,#d4a897,0.0,#ddbab0
119,0.8,#120b0a,0.13,#6f1115,0.04,#ba8876,0.01,#9a6c5d,0.01,#d2a392,0.01,#bc383a,0.01,#8f5748,0.0,#dab3a5
120,0.79,#120b0a,0.13,#721014,0.04,#ba8672,0.01,#976a5a,0.01,#d2a38e,0.01,#bc3739,0.01,#8e5646,0.0,#dab3a4
121,0.8,#120b0a,0.14,#731114,0.04,#bd8a77,0.01,#9b6d5e,0.01,#be393b,0.01,#d3a693,0.01,#8d5747,0.0,#dab5a9
122,0.79,#120b0a,0.14,#721013,0.03,#b98673,0.01,#996b5d,0.01,#d0a28f,0.01,#8e5647,0.01,#bc3739,0.0,#d9b4a7
123,0.79,#120b0a,0.14,#701014,0.04,#b98674,0.01,#ba3739,0.01,#d2a694,0.01,#8e5849,0.01,#936a5c,0.0,#dab7ad
124,0.79,#120a0a,0.14,#6e0f13,0.04,#b68170,0.01,#d09f8d,0.01,#936759,0.01,#8b5345,0.01,#ba3538,0.0,#d7b0a4
125,0.75,#150b0b,0.14,#701316,0.04,#b6141f,0.04,#b88575,0.01,#96685b,0.01,#d1a291,0.01,#8d5647,0.0,#d8b2a9
126,0.64,#1c0d0c,0.16,#6e1315,0.13,#ce1f26,0.04,#b98673,0.01,#96695a,0.01,#d1a28e,0.01,#8e5646,0.0,#d8b2a6
127,0.73,#1f0c0c,0.16,#6a1415,0.05,#c8141d,0.04,#b6806f,0.01,#d19f8c,0.01,#916356,0.01,#8b5344,0.0,#d9b0a3
128,0.44,#2c0b0b,0.28,#820c13,0.21,#db2a2c,0.04,#c08a78,0.01,#9c6a5c,0.01,#ee5348,0.01,#945848,0.0,#d7a797
129,0.53,#80050e,0.37,#210406,0.05,#aa040f,0.04,#bc8372,0.01,#9a675a,0.01,#945748,0.0,#d5a698,0.0,#dcb6ac
130,0.44,#7f000a,0.28,#a9000d,0.2,#200305,0.05,#b80f18,0.01,#271e19,0.01,#c71e22,0.01,#83231e,0.01,#7c1016
131,0.55,#1b0607,0.21,#70000a,0.1,#e72f30,0.05,#2e2a28,0.03,#cd1a21,0.03,#b40c16,0.02,#ed4741,0.01,#25211a
132,0.58,#1c0507,0.17,#6e000a,0.08,#b90413,0.05,#2c2825,0.05,#e3282b,0.04,#d1171f,0.02,#ed4740,0.01,#232018
133,0.57,#1d0607,0.18,#6e000a,0.08,#bb0614,0.05,#2f2b28,0.05,#e52c2d,0.04,#d41921,0.01,#ee4c43,0.01,#26221a
134,0.57,#1d0507,0.18,#6e000a,0.08,#bb0413,0.06,#2e2926,0.05,#e4292c,0.05,#d2171f,0.02,#ee4941,0.01,#ea3a38
135,0.57,#1c0607,0.18,#6d000a,0.08,#ba0414,0.05,#2d2a27,0.05,#e42a2d,0.04,#d21820,0.01,#ee4942,0.01,#242119
136,0.57,#1d0607,0.17,#6e0009,0.08,#bb0514,0.05,#2f2a27,0.05,#e42b2c,0.04,#d31820,0.01,#ee4a42,0.01,#252119
137,0.57,#1d0607,0.18,#6e000a,0.08,#bc0513,0.05,#2e2a27,0.05,#e52a2c,0.04,#d41820,0.02,#ee4941,0.01,#252119
138,0.56,#1c0606,0.19,#6e0009,0.09,#bd0513,0.05,#e62b2c,0.05,#302b27,0.04,#d61920,0.01,#ef4c42,0.01,#262219
139,0.55,#1a0607,0.2,#6c0009,0.08,#bb0514,0.05,#2d2927,0.05,#e42a2d,0.05,#d31820,0.01,#ee4a42,0.01,#eb3b39
140,0.54,#1a0607,0.21,#6d0009,0.08,#bc0514,0.05,#2e2b27,0.05,#e52c2d,0.04,#d41920,0.01,#ee4b42,0.01,#262219
141,0.45,#7d0000,0.4,#b70001,0.14,#320000,0.01,#d70007,0.0,#d6000b,0.0,#dd030c,0.0,#dd020c,0.0,#dc0309
142,0.6,#7c0000,0.26,#2b0000,0.14,#b30001,0.01,#d80006,0.0,#e1010c,0.0,#e6040e,0.0,#e80a0f,0.0,#e60409
143,0.6,#7c0000,0.26,#2b0000,0.13,#b60002,0.0,#e2050f,0.0,#d93426,0.0,#ba1811,,,,
144,0.6,#7c0000,0.27,#2b0000,0.12,#b70002,0.0,#e7362c,0.0,#ab201c,,,,,,
145,0.58,#7a0000,0.28,#2a0000,0.14,#b30002,0.0,#da060f,0.0,#d22e27,0.0,#c51112,0.0,#94020d,,
146,0.61,#7e0000,0.28,#2c0000,0.11,#bd0002,0.0,#c60815,0.0,#ef392e,0.0,#a21918,,,,
147,0.59,#7c0000,0.27,#2b0000,0.14,#b60002,0.0,#d6040e,0.0,#d8251e,0.0,#b51c19,0.0,#9f1c17,0.0,#96020e
148,0.32,#9c6b49,0.23,#d7b286,0.14,#b48256,0.11,#8c5230,0.08,#bf9265,0.07,#832e24,0.05,#59281d,0.0,#b50728
149,0.32,#9b6c49,0.25,#d7b385,0.12,#b48356,0.1,#8b5331,0.08,#bd9163,0.06,#852c23,0.06,#582b1f,0.0,#b50826
150,0.26,#dcba8c,0.26,#976c4a,0.19,#b38458,0.08,#8b5530,0.08,#7a3121,0.07,#bf9667,0.05,#492217,0.01,#b5041f
151,0.25,#9c714c,0.25,#e0be8e,0.15,#b68658,0.12,#8d5832,0.1,#c2986a,0.08,#802f20,0.05,#4f2518,0.01,#b60620
152,0.29,#9b6f4b,0.28,#debc8d,0.13,#b58559,0.09,#8a5530,0.08,#7f2d1f,0.07,#be9567,0.05,#4c2418,0.0,#b60823
153,0.31,#9c714d,0.3,#debd8e,0.11,#b6885b,0.08,#8b5631,0.08,#812c21,0.06,#bf9769,0.05,#4f2519,0.0,#ba0829
154,0.3,#dfbd8f,0.3,#9f734f,0.1,#b8895d,0.09,#812c21,0.08,#8c5632,0.06,#c1996c,0.05,#4f2418,0.0,#bc0b29
155,0.3,#e1bf91,0.28,#a17550,0.13,#bb8d62,0.11,#822f22,0.07,#8e5934,0.06,#522619,0.04,#c8a073,0.0,#c00a29
156,0.3,#e1c091,0.24,#9f7450,0.14,#b98a5f,0.11,#822c21,0.08,#8c5834,0.07,#c69f73,0.06,#4b2015,0.01,#bf0b28
157,0.29,#e4c291,0.19,#a17650,0.17,#bb8c5f,0.12,#832d20,0.09,#915b36,0.08,#cca677,0.05,#4e2115,0.01,#c20e28
158,0.27,#e6c492,0.19,#ba8b5f,0.16,#a17650,0.13,#802e20,0.11,#cfa979,0.08,#915d36,0.05,#45180f,0.01,#bf0b25
159,0.26,#e6c695,0.2,#a37954,0.18,#bc8f64,0.14,#822d22,0.1,#d1ad7d,0.07,#925e39,0.05,#4a1c14,0.01,#c50f29
160,0.26,#e4c594,0.23,#b88c62,0.15,#7b2d20,0.15,#9e7451,0.08,#d0ab7c,0.07,#915e39,0.04,#3a100b,0.02,#bf0d27
161,0.21,#ba8c63,0.19,#eac999,0.16,#7d2c20,0.15,#a17754,0.14,#d5b081,0.08,#93603c,0.04,#3a0f0a,0.02,#c6102a
162,0.24,#b88a61,0.19,#d6b283,0.17,#7c291e,0.13,#edcd9d,0.1,#9f7654,0.1,#92603d,0.05,#2d0805,0.02,#ca132b
163,0.24,#ba8e64,0.23,#ddba89,0.19,#7d2a1e,0.14,#966541,0.07,#a17a58,0.05,#f1d3a2,0.05,#280605,0.03,#d11b30
164,0.26,#bb8e65,0.21,#ddb888,0.19,#7d271e,0.13,#956341,0.06,#a17958,0.06,#f3d3a2,0.06,#250605,0.04,#cf182e
165,0.24,#d9b47f,0.22,#c09563,0.15,#9b673e,0.12,#7c3922,0.11,#ab7f53,0.1,#522113,0.05,#f4d69d,0.0,#b77d46
166,0.24,#c09361,0.24,#dab47f,0.14,#7c3721,0.12,#9c653c,0.09,#f3d39a,0.08,#4b190e,0.07,#a87a50,0.01,#b47844
167,0.23,#d5ae79,0.21,#be905f,0.16,#ecca92,0.14,#793520,0.09,#996139,0.08,#a6764c,0.08,#4a180e,0.0,#b37640
168,0.31,#dab47e,0.22,#bf9260,0.15,#7b341f,0.11,#f3d299,0.09,#4a180d,0.07,#9a643c,0.06,#a87b50,0.0,#b67943
169,0.27,#d6af78,0.19,#c19461,0.19,#edcb92,0.13,#7b341d,0.1,#4a170c,0.07,#a7794e,0.05,#945e37,0.0,#b37441
170,0.32,#e0bb83,0.26,#c49a66,0.15,#7c361f,0.1,#4a160c,0.07,#f6d79d,0.06,#9b673e,0.04,#ab7f52,0.0,#b67b48
171,0.25,#eac78f,0.25,#d3ab75,0.16,#bf9260,0.15,#79321d,0.09,#43120a,0.05,#a6764c,0.04,#935d35,0.0,#b16b3f
172,0.35,#dcb57e,0.22,#c19461,0.18,#78301c,0.09,#f1d098,0.08,#400e08,0.05,#99633b,0.03,#a87a4f,0.0,#b37745
173,0.39,#e0bb83,0.24,#c29663,0.2,#762f1b,0.07,#390b06,0.06,#9b683f,0.02,#b37c4a,0.01,#a77b53,0.01,#f8daa5
174,0.27,#734329,0.16,#9c714d,0.15,#c19463,0.14,#511c12,0.11,#8c5d39,0.1,#f1d69e,0.08,#ddb279,0.0,#b5743d
175,0.24,#764429,0.15,#c29463,0.15,#9f734d,0.14,#8d5e39,0.13,#551f13,0.09,#f3daa0,0.09,#dfb479,0.0,#b9773d
176,0.25,#754429,0.15,#9e724d,0.15,#c19464,0.14,#531e13,0.13,#8c5d3a,0.09,#f3daa0,0.09,#deb47b,0.0,#b5743e
177,0.24,#754429,0.15,#c29563,0.14,#9f744e,0.14,#8e5e3a,0.14,#541f13,0.09,#dfb47a,0.09,#f4d9a1,0.0,#b8773e
178,0.24,#754428,0.16,#8e5f3a,0.15,#c29563,0.14,#552013,0.13,#a0754e,0.1,#dfb57b,0.08,#f4dba2,0.0,#b7773f
179,0.25,#764327,0.16,#8f5f39,0.15,#c29461,0.13,#a0744d,0.13,#541e12,0.1,#dfb57a,0.08,#f4dba0,0.0,#b7753d
180,0.24,#744429,0.16,#8d5f3b,0.15,#c19563,0.14,#532013,0.13,#9f754f,0.1,#deb57b,0.08,#f4dba3,0.0,#b7773f
181,0.23,#764529,0.15,#8d5f3b,0.15,#562014,0.14,#c39564,0.14,#a0754f,0.11,#dfb57b,0.07,#f5dca3,0.0,#b9773f
